Cluster_Label,SAIFI,SAIDI_min,CAIDI_min,MTTR (hr),Mean_Voltage,Mean_PF,Mean_Loading,Number_of_Outages,Complaint_Count,Composite_Indicator_Percent
Cluster 1,1.167,95.0,81.547,1.36,63.167,0.86,26.5,6.667,17.667,98.163
Cluster 2,4.167,323.333,77.11,1.287,60.7,0.86,26.5,24.667,61.667,84.567
